"1","Maitreyi","Mircea Eliade","ic_maitreyi","Produs publicat in 2009 de Litera
Data aparitiei: Ianuarie 2009
Colectia Biblioteca pentru toti
Format: 130x210
Tip coperta: Cartonata
Numar pagini: 240","19.99","DRAGOSTE ROMANA CLASIC"
"2","Anastasia","Colin Falconer","ic_anastasia","Editura: Dexon 
Anul aparitiei: 2015 
Nr. pagini: 332 pagini 
ISBN: 9789737014702","19.99","POLITIST UNIVERSAL"
"3","Patul lui Procust","Camil Petrescu","ic_procust","Produs publicat in 2010 de Curtea Veche
Data aparitiei: Mai 2010
Colectia Biblioteca pentru toti
Format: 120x200
Tip coperta: Cartonata
Numar pagini: 370
ISBN: 978-973-669-939-9","14.99","DRAGOSTE ROMANA CLASIC"
"4","Crima si pedeapsa","F. M. Dostoievski","ic_crima_ped","EDITURA: BIBLIOTECA POLIROM.Clasici universali
ISBN: 978-973-46-1887-3
ANUL APARITIEI:	2011
NUMAR PAGINI: 568","9.99","POLITIST UNIVERSAL CLASIC"
"5","Crima din Orient Express","Agatha Christie","ic_crima_oe","Editura: Rao Books 
Colectia: Top 10 romane favorite 
Anul aparitiei: 2014 
Nr. pagini: 256 pagini 
ISBN: 9786066096201","13.99","POLITIST UNIVERSAL"
"6","Cianura pentru un suras","Rodica Ojog Brasoveanu","ic_cianura","Produs publicat in 2011 de Nemira
Data aparitiei: Noiembrie 2011
Colectia Suspans
Format: 120x220
Tip coperta: Cartonata
Numar pagini: 240
ISBN: 978-606-579-302-6","24.99","POLITIST ROMANA CONTEMPORAN"
"7","Intalnire la Elysee","Rodica Ojog Brasoveanu","ic_elysee","Produs publicat in 2012 de Nemira
Data aparitiei: August 2012
Colectia Suspans
Format: 120x200
Tip coperta: Cartonata
Numar pagini: 448
ISBN: 978-606-579-419-1","29.99","POLITIST ROMANA CONTEMPORAN"
"8","Cel mai iubit dintre pamanteni","Marin Preda","ic_cmidp","Produsul cuprinde toate cele 3 volume.
Serie publicata in 2013 de Cartex 2000
Data aparitiei: August 2013
Colectia Seria de autor Marin Preda
Format: 130x200
Tip coperta: Brosata
Numar pagini: 1048
ISBN: 978-973-788-339-1","53.99","DRAGOSTE ROMANA CLASIC"
"9","Adulter","Paulo Coelho","ic_adulter","Produs publicat in 2014 de Humanitas Fiction
Data aparitiei: Iulie 2014
Colectia Seria de autor Paulo Coelho
Traducator: Micaela Ghitescu
Format: 130x200
Tip coperta: Brosata
Numar pagini: 256","32.99","DRAGOSTE UNIVERSAL CONTEMPORAN"
"10","Anna Karenina","Lev Tolstoi","ic_karenina","Produs publicat in 2016 de Polirom
Data aparitiei: Aprilie 2016
Colectia Top 10+
Traducator: Emil Iordache
Format: 106x180
Tip coperta: Brosata
Numar pagini: 936
ISBN: 978-973-46-2794-3","17.99","DRAGOSTE UNIVERSAL CLASIC"
"11","Iarba cerului","Constantin Cublesan","ic_iarba","Data publicării: 2013
Editura: Nemira
Colectie: Nautilus SF
Tip copertă: Paperback
Numar Pagini: 224
ISBN: 9786065794993","27.99","FICTIUNE ROMANA CONTEMPORAN"
"12","Noptile memoriei","Mircea Oprita","ic_noptile_mem","Data aparitiei: 30.04.2013
Colectia: Nautilus
ISBN: 978-606-579-486-3
Format: Paperback
Nr. pagini: 328
Numar volume: 1
Editura	Nemira","10.99","FICTIUNE ROMANA CONTEMPORAN"
"13","Seria Dune","Frank Herbert","ic_dune","Produsul cuprinde toata seria de 6 volume.
Editura: Nemira 
Colectia: Nautilus SF 
Anul aparitiei: 2012 
Nr. pagini: 3616 pagini 
Tip coperta: tare 
ISBN: 9786069269541","249.99","FICTIUNE UNIVERSAL CONTEMPORAN"
"14","Fundatia","Isaac Asimov","ic_fundatia","Produs publicat in 2013 de Paladin
Data aparitiei: Decembrie 2013
Colectia Serie de autor Isaac Asimov
Format: 140x205
Tip coperta: Cartonata
ISBN: 978-606-93510-3-1","25.99","FICTIUNE UNIVERSAL CONTEMPORAN"
